S 4 24483;10:58;Langnau-Gattikon;Zuerich HB SZU- Zuerich Selnau- Zuerich Giesshuebel- Zuerich Saalsporthalle-  Zuerich Brunau- Zuerich Manegg- Zuerich Leimbach- Sood-Oberleimbach- Adliswil- Langnau-Gattikon;21-Zuerich HB SZU
S 3 18338;10:59;Aarau ;Zuerich HB- Zuerich Hardbruecke- Zuerich Altstetten- Schlieren-  Glanzenberg- Dietikon- Killwangen-Spreitenbach- Othmarsingen- Lenzburg- Aarau;41/42
EC 8;11:00;Hamburg-Altona ;Zuerich HB- Basel SBB- Basel Bad Bf- Freiburg (Breisgau) Hbf-  Mannheim Hbf- Koeln Hbf- Duesseldorf Hbf- Dortmund Hbf- Hamburg Hbf- Hamburg-Altona;16
S 6 18639;11:00;Uetikon ;Zuerich HB- Zuerich Stadelhofen- Zuerich Tiefenbrunnen- Zollikon-  Kuesnacht Goldbach- Kuesnacht ZH- Erlenbach ZH- Winkel am Zuerichsee- Meilen- Uetikon;43/44
IR 2636;11:01;Zuerich Flughafen ;Zuerich HB- Zuerich Oerlikon- Zuerich Flughafen;6
S 6 18640;11:01;Baden ;Zuerich HB- Zuerich Hardbruecke- Zuerich Oerlikon- Zuerich Seebach-  Zuerich Affoltern- Regensdorf-Watt- Buchs-Daellikon- Otelfingen Golfpark- Wettingen- Baden;41/42
IC 814;11:02;Brig ;Zuerich HB- Bern- Thun- Spiez- Visp- Brig;31
ICN 518;11:03;Geneve-Aeroport ;Zuerich HB- Aarau- Olten- Solothurn-  Biel/Bienne- Neuchâtel- Yverdon-les-Bains- Morges- Geneve- Geneve-Aéroport;14
S 3 18341;11:03;Wetzikon ;Zuerich HB- Zuerich Stadelhofen- Stettbach- Dietlikon-  Effretikon- Illnau- Fehraltorf- Pfaeffikon ZH- Kempten- Wetzikon;43/44
IR 2641;11:04;Luzern ;Zuerich HB- Thalwil- Zug- Luzern;5
RE 4918;11:05;Schaffhausen ;Zuerich HB- Zuerich Oerlikon- Buelach- Schaffhausen;12
